method,mean_distortion,max_distortion,rank_correlation,runtime,compression_ratio,optimized_evaluation,kl_divergence,l1
JLL,0.14335603620499437,0.518629861809625,0.9254752392577072,0.00020360946655273438,1.1904761904761905,True,0.0,0.0
PCA,0.029915222278880108,0.4232844284747376,0.9982914400490205,0.0009069442749023438,1.1904761904761905,True,0.0,0.0
GAUSSIAN,0.8576712421051012,2.210619315056869,0.9042717080143403,0.0008130073547363281,1.1904761904761905,True,0.0,0.0
POCS,0.34351082750055795,0.9870325081279138,0.7383275358662983,30.994549036026,1.1904761904761905,True,0.0,0.0
Poincare,0.13943978161412998,0.8780911754116285,0.8311355477239242,0.0030231475830078125,1.1904761904761905,True,0.0,0.0
Spherical,0.13848420920600368,1.0134994713169518,0.8316557210837914,0.0002429485321044922,1.1904761904761905,True,0.0,0.0
